vivoscuola institute link;name;school link
https://www.vivoscuola.it/content/view/full/30161;"scuola dell'infanzia di taio ""asilo infantile di taio odv""";https://www.vivoscuola.it/content/view/full/30162
https://www.vivoscuola.it/content/view/full/29425;scuola primaria aldeno;https://www.vivoscuola.it/content/view/full/29426
https://www.vivoscuola.it/content/view/full/29425;scuola primaria cimone;https://www.vivoscuola.it/content/view/full/29427
https://www.vivoscuola.it/content/view/full/29425;scuola primaria mattarello;https://www.vivoscuola.it/content/view/full/29428
https://www.vivoscuola.it/content/view/full/29425;scuola primaria romagnano trento;https://www.vivoscuola.it/content/view/full/29429
https://www.vivoscuola.it/content/view/full/29425;"scuola secondaria di primo grado ""a. fogazzaro"" mattarello";https://www.vivoscuola.it/content/view/full/29430
https://www.vivoscuola.it/content/view/full/29425;scuola secondaria di primo grado aldeno;https://www.vivoscuola.it/content/view/full/29431
https://www.vivoscuola.it/content/view/full/30115;scuola dell'infanzia di ronzo-chienis;https://www.vivoscuola.it/content/view/full/30116
https://www.vivoscuola.it/content/view/full/29995;scuola dell'infanzia di dimaro;https://www.vivoscuola.it/content/view/full/29996
https://www.vivoscuola.it/content/view/full/29432;"scuola primaria ""e. bezzi"" ossana";https://www.vivoscuola.it/content/view/full/29433
https://www.vivoscuola.it/content/view/full/29432;scuola primaria cogolo di peio;https://www.vivoscuola.it/content/view/full/29434
https://www.vivoscuola.it/content/view/full/29432;scuola primaria commezzadura;https://www.vivoscuola.it/content/view/full/29435
https://www.vivoscuola.it/content/view/full/29432;scuola primaria passo tonale;https://www.vivoscuola.it/content/view/full/29436
https://www.vivoscuola.it/content/view/full/29432;scuola primaria vermiglio;https://www.vivoscuola.it/content/view/full/29438
https://www.vivoscuola.it/content/view/full/29432;"scuola secondaria di primo grado ""c. zanella"" fucine di ossana";https://www.vivoscuola.it/content/view/full/29439
https://www.vivoscuola.it/content/view/full/30147;scuola dell'infanzia di sopramonte;https://www.vivoscuola.it/content/view/full/30148
https://www.vivoscuola.it/content/view/full/30173;scuola dell'infanzia di torbole;https://www.vivoscuola.it/content/view/full/30174
